Lead Status,Lead Owner,Lead Source,Geoclient Response,BCW ID,Notes,Follow-up Needed,Visit Type,Visit Reason,Establishment Visit Status,Due Date,Company,Business Legal Name,Street Address,Floor/Suite/Apt,City,State,Zip Code,Alternate Address,Borough,BBL,Address Point ID,geolocation,Longitude,Latitude,Sanitation District,Sanitation Section,Community District,Business Improvement District,License,License Type,Building Type,Organics Effective Date,Primary Organics Type,Secondary Organics Type (Chain),Secondary Organics Type (FSE),On-site Processing Registration,Industry Type ,IsChain?,Business Model (affiliation),Chain Name (if different from DBA name),No. of Locations in NYC,Floor Area,Attendance or Venue Capacity,Foam Ban Waiver,Organics ID,Carter ID,Carter Customer ID,Pro Fee Account,Pro Fee Certification,Pro Fee Expiration,No. of Employees,Website,EIN,Property Management Company,Property Manager Alternate Address,Property Manager Street Address,Property Manager Floor/Suite/Apt,Property Manager City,Property Manager State,Property Manager Zip Code,Property Manager Borough,Property Manager First Name,Property Manager Last Name,Property Manager Email ,Property Manager Phone ,Property Manager Phone No. Ext.,Property Manager Phone Type,Property Manager Newsletter,Primary Contact Role,Work Title,Salutation,Suffix,First Name,Last Name,Email,Phone,Primary Contact Phone No. Ext.,Primary Contact Phone Type,Primary Contact Newsletter,donateNYC Registration,Preferred Language,Secondary Contact Role,Secondary Corporate Title,Secondary Contact First Name,Secondary Contact Last Name,Secondary Contact Email,Secondary Contact Phone No.,Secondary Contact Phone No. Ext.,Secondary Contact Phone Type,Secondary Contact Newsletter
,,Seed Dataset,,,source=organic3;fulcrum_id=83f5ad44-4625-491e-818a-ee45ed645c54;fid_ce=1;fid_orig=2164,,,,,,ASTORIA SEAFOOD,ASTORIA SEAFOOD CORP,21-61 31 St,,New York,New York,11105,,Queens,4008310001,,40.776411;-73.910089,-73.910089,40.776411,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=07c69cf0-09e1-4bc4-b14b-607f10903b3b;fid_ce=2;fid_orig=2163,,,,,,ASTORIA SEAFOOD,ASTORIA FISHERY SUPPLIERS&FDS INC,37-10 33 St,,New York,New York,11101,,Queens,4003740026,,40.754025;-73.929787,-73.929787,40.754025,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=2f62bc0d-d98a-4921-ba50-fe95414d8532;fid_ce=3;fid_orig=2868,,,,,,BRIDGES GENERAL,BGSTAND 110 GREENE LLC,110 Greene St,,New York,New York,10012,,Manhattan,,,40.724488;-73.999661,-73.999661,40.724488,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=0f365b36-60b5-421f-b9da-a4e8f9adbfbb;fid_ce=7;fid_orig=2873,,,,,,BRIDGES GENERAL,BRIDGES II TIMES SQUARE LLC,11 Times Square,,New York,New York,10036,,Manhattan,1010137501,,40.756898;-73.990023,-73.990023,40.756898,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=9c2161c4-4e67-4f1c-bc13-0c839000cf59;fid_ce=11;fid_orig=5236,,,,,,EXPRESS DELI,SHARAF H YAHYA,1119 Herkimer St,,New York,New York,11233,,Brooklyn,3015490037,,40.677948;-73.916506,-73.916506,40.677948,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=78a800ce-a358-46ff-930c-35c903aaaeb7;fid_ce=12;fid_orig=5241,,,,,,EXPRESS DELI GROCERY,ARSHAK CORP,262 Neptune Ave,,New York,New York,11235,,Brooklyn,3086650558,,40.581309;-73.962963,-73.962963,40.581309,,,,,,,,2020,Retail Food,,,,,TRUE,,Express Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=8edb9903-6f9b-4568-a851-e1f88faefc6c;fid_ce=13;fid_orig=5242,,,,,,EXPRESS DELI GROCERY,EXPRESS DELI GROCERY INC II,3008 Glenwood Rd,,New York,New York,11210,,Brooklyn,3075580057,,40.634003;-73.947571,-73.947571,40.634003,,,,,,,,2020,Retail Food,,,,,TRUE,,Express Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=74ec091f-454e-4e77-bdef-490673cad5c1;fid_ce=14;fid_orig=5250,,,,,,EXPRESS GROCERY,MUNASER ANIS,156 Union St,,New York,New York,11231,,Brooklyn,3003430007,,40.683792;-74.000891,-74.000891,40.683792,,,,,,,,2020,Retail Food,,,,,TRUE,,Express Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=19541564-4ce5-4674-a1db-3f1c608af878;fid_ce=15;fid_orig=5235,,,,,,EXPRESS DELI,SHAMBHU DELI GROCERY INC,79-02 Parsons Blvd,,New York,New York,11366,,Queens,4068170020,,40.720836;-73.809487,-73.809487,40.720836,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=3163b89b-227d-4953-9248-92ccceb7ab57;fid_ce=16;fid_orig=5237,,,,,,EXPRESS DELI,SUHAIL MOHAMED,3923 Church Ave,,New York,New York,11203,,Brooklyn,3048760033,,40.651396;-73.94018,-73.94018,40.651396,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=ff8d43ec-431e-48f1-916a-38b6936a467c;fid_ce=17;fid_orig=5246,,,,,,EXPRESS DELI&GROCERY,WIDE LAKE INC,12086 31 Ave,,New York,New York,11354,,Queens,4006230038,,40.769636;-73.8468,-73.8468,40.769636,,,,,,,,2020,Retail Food,,,,,TRUE,,Express Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=d2359420-aa92-4870-b616-e64ceb1d122a;fid_ce=18;fid_orig=5249,,,,,,EXPRESS GROCERY,EXPRESS GROCERY INC,226-21 Merrick Blvd,,New York,New York,11413,,Queens,4129650015,,40.677212;-73.743672,-73.743672,40.677212,,,,,,,,2020,Retail Food,,,,,TRUE,,Express Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=27b3f92d-03e5-4962-a9f4-bcb42c1be33b;fid_ce=19;fid_orig=5234,,,,,,EXPRESS DELI,EXPRESS DELI CORP,283 Ralph Ave,,New York,New York,11233,,Brooklyn,3015240005,,40.679659;-73.921926,-73.921926,40.679659,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=eacba546-8807-4cdd-a29d-ad0bf6f26ecc;fid_ce=23;fid_orig=7146,,,,,,INTERNATIONAL DELI,ESTER DELI CORP,3664 Nostrand Ave,,New York,New York,11229,,Brooklyn,3074050927,,40.594631;-73.940778,-73.940778,40.594631,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=830011aa-29f6-4717-bdb0-87a755a0e3be;fid_ce=25;fid_orig=7148,,,,,,INTERNATIONAL DELI,INTERNATIONAL DELI CORP,4017 14 Ave,,New York,New York,11218,,Brooklyn,3053450003,,40.638581;-73.984816,-73.984816,40.638581,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=625772ad-2548-4bfc-89fc-f80c2d768ded;fid_ce=26;fid_orig=7294,,,,,,JACQUES TORRES CHOCOLAT,JACQUES TORRES ADVENTURES LLC,350 Hudson St,,New York,New York,10014,,Manhattan,1005800039,,40.727548;-74.007274,-74.007274,40.727548,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=d1bdc15e-c036-4841-8501-c89974c4ef79;fid_ce=27;fid_orig=7296,,,,,,JACQUES TORRES CHOCOLAT,JACQUES TORRES STORE LLC,110 E 57 St,,New York,New York,10022,,Manhattan,1013110065,,40.761327;-73.970107,-73.970107,40.761327,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=c3e15a4c-6afd-4ada-b8b7-21da52d86865;fid_ce=31;fid_orig=7299,,,,,,JACQUES TORRES CHOCOLAT,MR CHOCOLATE.COM LLC,66 Water St,,New York,New York,11201,,Brooklyn,3000360016,,40.703265;-73.991503,-73.991503,40.703265,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=a48b6be5-1ede-4331-9a28-c697f0dde2c5;fid_ce=32;fid_orig=7323,,,,,,JAMAICA RYTHMS FISH MAR,JAMAICA RYTHMS FISH MARKET INC,3963 Bronxwood Ave,,New York,New York,10466,,Bronx,2048490001,,40.885666;-73.854898,-73.854898,40.885666,,,,,,,,2020,Retail Food,,,,,TRUE,,Jamaica Rhythms Fish Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=e71ca416-5332-4e86-a718-6c52692922f2;fid_ce=33;fid_orig=7324,,,,,,JAMAICA RYTHMS FISH MAR,JAMAICA RYTHMS FISH MARKET INC,3955 Bronxwood Ave,,New York,New York,10466,,Bronx,2048490001,,40.885504;-73.854989,-73.854989,40.885504,,,,,,,,2020,Retail Food,,,,,TRUE,,Jamaica Rhythms Fish Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=7e381a6f-1981-4cfa-bbbd-18776a586ace;fid_ce=34;fid_orig=7325,,,,,,JAMAICA RYTHMS FISH MAR,JAMAICA RYTHMS FISH MARKET INC,3376B Boston Rd,,New York,New York,10469,,Bronx,2047340001,,40.87513;-73.851204,-73.851204,40.87513,,,,,,,,2020,Retail Food,,,,,TRUE,,Jamaica Rhythms Fish Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Seed Dataset,,,source=organic3;fulcrum_id=d7ab8fea-10b2-45a9-9010-8246ff69ee7a;fid_ce=35;fid_orig=9865,,,,,,NATURAL FRONTIER MARKET,LAMA TRADING II INC,1102 Cortelyou Rd,,New York,New York,11218,,Brooklyn,3051540001,,40.639709;-73.967769,-73.967769,40.639709,,,,,,,,2020,Retail Food,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
